External_ID__c,AccountNumber,AnnualRevenue,BillingCity,BillingCountry,BillingGeocodeAccuracy,BillingLatitude,BillingLongitude,BillingPostalCode,BillingState,BillingStreet,Cust360_Contact_Picture_URL__pc,DNB_Delinquency_Score__c,DNB_Failure_Score__c,DNB_PAYDEX_Score__c,DNB_Rating__c,Description,Equifax_Credit_Risk_Score__c,Equifax_Failure_Score_CR__c,Equifax_Payment_Index__c,Experian_Intelliscore__c,Experian_Risk_Band__c,Fax,FinServ__BorrowingHistory__c,FinServ__CommunicationPreferences__pc,FinServ__ContactPreference__pc,FinServ__CountryOfResidence__pc,FinServ__CreditRating__c,FinServ__CreditScore__c,FinServ__CustomerType__c,FinServ__EmployedSince__pc,FinServ__Gender__pc,FinServ__HomeOwnership__pc,FinServ__InvestmentExperience__c,FinServ__LanguagesSpoken__pc,FinServ__LastFourDigitSSN__pc,FinServ__LastInteraction__c,FinServ__MotherMaidenName__pc,FinServ__NetWorth__c,FinServ__NumberOfChildren__pc,FinServ__NumberOfDependents__pc,FinServ__RiskTolerance__c,FinServ__ServiceModel__c,FinServ__Status__c,FinServ__TaxBracket__pc,FinServ__TaxId__pc,FinServ__TimeHorizon__c,FinServ__TotalRevenue__c,FinServ__WeddingAnniversary__pc,Fitch_Category__c,Fitch_Rating__c,INS_FEIN_Tax_ID__c,Industry,Jigsaw,MiddleName,NAICS_Code__c,NumberOfEmployees,PersonAssistantName,PersonAssistantPhone,PersonDepartment,PersonGender,PersonGenderIdentity,PersonLeadSource,PersonMailingGeocodeAccuracy,PersonMailingLatitude,PersonMailingLongitude,PersonOtherCity,PersonOtherCountry,PersonOtherGeocodeAccuracy,PersonOtherLatitude,PersonOtherLongitude,PersonOtherPhone,PersonOtherPostalCode,PersonOtherState,PersonOtherStreet,PersonPronouns,PersonTitle,Rating,Salutation,ShippingCity,ShippingCountry,ShippingGeocodeAccuracy,ShippingLatitude,ShippingLongitude,ShippingPostalCode,ShippingState,ShippingStreet,Sic,SicDesc,Site,Tier__c,Type
HYDRATE-RT-000047,ACCT-000047,,,,,,,,,,https://cust360-photos.example.com/001am00002A303rAAB.jpg,,,,,,,,,,,(222) 778-7190,Excellent,Email;Text,Email,United States,Poor,568,Individual,2021-08-18,Female,Rent,Beginner,English,1403,2025-08-15,Johnson,0.0,0,0,Conservative,Self-Service,Active,,197852891,Short-Term,,,,,,,,A,,,,,Finance,Female,Female,Other,Address,47.6453,-122.3275,Spokane,United States,Address,47.657,-122.3712,(714) 131-9758,98110,WA,245 Cedar Rd,she/her,Ms,,,,,,,,,,,,,,Bronze,
HYDRATE-RT-000048,ACCT-000048,,,,,,,,,,https://cust360-photos.example.com/001am00002A303sAAB.jpg,,,,,,,,,,,(696) 984-5923,Excellent,Email;Text,Phone,United States,Fair,638,Individual,1999-01-11,Male,Own,Intermediate,English,1885,2025-10-27,Martin,0.0,0,0,Moderate,Self-Service,Active,,550180328,Medium-Term,,,,,,,,P,,,,,Engineering,Male,Male,Phone Inquiry,Address,35.79,-78.6501,Raleigh Plaza,United States,Address,35.8231,-78.6345,(530) 101-6023,28261,NC,12 Oak Ave,he/him,Mr,,,,,,,,,,,,,,Bronze,
HYDRATE-RT-000049,ACCT-000049,,,,,,,,,,https://cust360-photos.example.com/001am00002A303tAAB.jpg,,,,,,,,,,,(473) 608-3851,Poor,Email;Text,Text,United States,Poor,495,Individual,2023-01-15,Female,Own,Intermediate,English,2253,2025-07-14,Rodriguez,0.0,0,0,Moderate,Self-Service,Active,,702004597,Medium-Term,,,,,,,,N,,,,,Other,Female,Female,Partner,Address,36.2164,-115.1687,Las Vegas Center,United States,Address,36.1349,-115.1544,(969) 653-9256,89132,NV,102 Cedar Rd,she/her,Mrs,,,,,,,,,,,,,,Bronze,
HYDRATE-RT-000050,ACCT-000050,,,,,,,,,,https://cust360-photos.example.com/001am00002A303uAAB.jpg,,,,,,,,,,,(963) 036-7227,Excellent,Email;Text,Text,United States,Poor,532,Individual,2013-04-13,Male,Rent,Experienced,English,4761,2025-11-29,Williams,0.0,0,0,Aggressive,Self-Service,Active,,673995720,Long-Term,,,,,,,,V,,,,,Engineering,Male,Male,Referral,Address,44.9695,-93.2602,Minneapolis Hills,United States,Address,44.9777,-93.2971,(227) 813-6331,55443,MN,12 Maple Blvd,he/him,Mr,,,,,,,,,,,,,,Bronze,
HYDRATE-RT-000051,ACCT-000051,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYRAA3.jpg,,,,,,,,,,,(342) 127-2616,Excellent,Email;Text,Phone,United States,Fair,660,Individual,1997-06-28,Male,Own,Beginner,English,1262,2025-09-19,Davis,0.0,0,,Conservative,Self-Service,Active,22%,632132548,Short-Term,,1998-06-05,,,,,,J,,,,,HR,Male,Male,Partner,Address,37.7465,-122.3994,Oakland,United States,Address,37.8287,-122.3163,(332) 007-0028,90045,CA,245 Willow St,he/him,Dr,,,,,,,,,,,,,,Silver,
HYDRATE-RT-000052,ACCT-000052,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYSAA3.jpg,,,,,,,,,,,(708) 413-9951,Poor,Email;Text,Email,United States,Fair,602,Individual,1999-07-29,Female,Rent,Intermediate,English,4349,2025-12-01,Williams,0.0,1,,Moderate,Self-Service,Active,22%,202780414,Medium-Term,,2012-01-02,,,,,,J,,,,,Finance,Female,Female,Web,Address,32.7691,-97.3615,Fort Worth Hills,United States,Address,32.8033,-97.3708,(352) 824-7028,77047,TX,12 Sycamore Ave,she/her,Dr,,,,,,,,,,,,,,Bronze,
HYDRATE-RT-000053,ACCT-000053,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYTAA3.jpg,,,,,,,,,,,(817) 389-5614,Excellent,Email;Text,Email,United States,Good,684,Individual,1996-12-24,Female,Own,Intermediate,English,0268,2025-12-18,Miller,0.0,0,,Moderate,Self-Service,Active,22%,187207007,Medium-Term,,2012-02-13,,,,,,M,,,,,Legal,Female,Female,Referral,Address,33.7211,-84.3933,Savannah,United States,Address,33.7915,-84.3419,(596) 096-6682,30328,GA,102 Walnut Ave,she/her,Ms,,,,,,,,,,,,,,Silver,
HYDRATE-RT-000054,ACCT-000054,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYUAA3.jpg,,,,,,,,,,,(492) 639-1723,Poor,Email;Text,Phone,United States,Poor,535,Individual,2005-09-01,Female,Rent,Intermediate,English,5889,2025-08-08,Jackson,0.0,1,,Moderate,Self-Service,Active,12%,586527478,Medium-Term,,2015-08-01,,,,,,U,,,,,Engineering,Female,Female,Referral,Address,33.3845,-111.814,Mesa Hills,United States,Address,33.4173,-111.7891,(713) 744-8580,85027,AZ,102 Maple Rd,she/her,Dr,,,,,,,,,,,,,,Bronze,
HYDRATE-RT-000055,ACCT-000055,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYVAA3.jpg,,,,,,,,,,,(708) 080-8486,Excellent,Email;Text,Text,United States,Good,720,Individual,2015-03-16,Female,Own,Beginner,English,5200,2026-02-10,Brown,0.0,2,,Conservative,Self-Service,Active,22%,763480312,Short-Term,,,,,,,,I,,,,,Finance,Female,Female,Web,Address,32.2653,-110.9707,Tucson Hills,United States,Address,32.1915,-110.9223,(543) 171-9979,85028,AZ,102 Oak Rd,she/her,Ms,,,,,,,,,,,,,,Silver,
HYDRATE-RT-000056,ACCT-000056,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYWAA3.jpg,,,,,,,,,,,(276) 448-0878,Poor,Email;Text,Email,United States,Poor,520,Individual,2006-12-05,Female,Rent,Intermediate,English,2531,2025-10-19,Miller,0.0,0,,Moderate,Self-Service,Active,12%,181287696,Medium-Term,,1996-09-19,,,,,,F,,,,,Operations,Female,Female,Referral,Address,29.429,-98.4889,San Antonio Hills,United States,Address,29.4629,-98.5061,(754) 847-3033,77038,TX,488 Birch Rd,she/her,Mrs,,,,,,,,,,,,,,Bronze,
HYDRATE-RT-000057,ACCT-000057,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYXAA3.jpg,,,,,,,,,,,(481) 244-4526,Excellent,Email;Text,Email,United States,Fair,592,Individual,2017-03-25,Female,Rent,Beginner,English,7089,2026-01-14,Miller,0.0,0,,Conservative,Self-Service,Active,22%,229355346,Short-Term,,2016-12-31,,,,,,U,,,,,Finance,Female,Female,Referral,Address,29.9933,-90.0912,New Orleans Heights,United States,Address,29.9266,-90.056,(997) 992-6021,70177,LA,3287 Pine Way,she/her,Dr,,,,,,,,,,,,,,Silver,
HYDRATE-RT-000058,ACCT-000058,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYYAA3.jpg,,,,,,,,,,,(401) 378-2985,Excellent,Email;Text,Phone,United States,Good,724,Individual,2025-11-29,Female,Rent,Intermediate,English,0464,2025-07-03,Jackson,0.0,1,,Moderate,Self-Service,Active,22%,818183154,Medium-Term,,2000-08-31,,,,,,X,,,,,Finance,Female,Female,Referral,Address,36.1364,-95.9938,Tulsa Hills,United States,Address,36.1308,-96.0394,(804) 760-8655,73110,OK,1100 Elm Ave,she/her,Ms,,,,,,,,,,,,,,Silver,
HYDRATE-RT-000059,ACCT-000059,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYZAA3.jpg,,,,,,,,,,,(656) 198-6804,Poor,Email;Text,Phone,United States,Fair,665,Individual,2018-09-15,Male,Rent,Intermediate,English,2674,2025-08-09,Lopez,0.0,0,,Moderate,Self-Service,Active,22%,161016800,Medium-Term,,2006-01-21,,,,,,C,,,,,Customer Service,Male,Male,Web,Address,37.6712,-97.3385,Wichita Heights,United States,Address,37.7333,-97.3484,(873) 454-0377,67210,KS,102 Chestnut St,he/him,Mr,,,,,,,,,,,,,,Silver,
HYDRATE-RT-000060,ACCT-000060,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYaAAN.jpg,,,,,,,,,,,(934) 865-1605,Excellent,Email;Text,Email,United States,Fair,633,Individual,2018-02-09,Female,Own,Intermediate,English,1322,2026-02-18,Lopez,0.0,1,,Moderate,Self-Service,Active,12%,503564082,Medium-Term,,2021-08-14,,,,,,U,,,,,Sales,Female,Female,Referral,Address,32.7097,-97.1444,Arlington Plaza,United States,Address,32.7273,-97.1484,(892) 020-5187,77023,TX,1100 Pine Ave,she/her,Ms,,,,,,,,,,,,,,Bronze,
HYDRATE-RT-000061,ACCT-000061,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYbAAN.jpg,,,,,,,,,,,(884) 876-2471,Excellent,Email;Text,Email,United States,Good,714,Individual,2010-03-19,Female,Own,Beginner,English,6429,2026-04-26,Hernandez,0.0,0,,Conservative,Self-Service,Active,22%,666098592,Short-Term,,2023-11-03,,,,,,O,,,,,Sales,Female,Female,Partner,Address,33.4375,-112.0427,Tucson,United States,Address,32.2379,-110.9755,(306) 950-9447,85083,AZ,47 Cedar Ln,she/her,Dr,,,,,,,,,,,,,,Silver,
HYDRATE-RT-000062,ACCT-000062,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYcAAN.jpg,,,,,,,,,,,(230) 209-7565,Excellent,Email;Text,Email,United States,Fair,658,Individual,2023-11-04,Female,Rent,Intermediate,English,1870,2026-02-25,Hernandez,0.0,0,,Moderate,Self-Service,Active,22%,929806176,Medium-Term,,,,,,,,X,,,,,Operations,Female,Female,Referral,Address,32.2384,-110.942,Tucson Heights,United States,Address,32.2235,-110.9742,(508) 505-7282,85024,AZ,2014 Chestnut Way,she/her,Mrs,,,,,,,,,,,,,,Silver,
HYDRATE-RT-000063,ACCT-000063,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYdAAN.jpg,,,,,,,,,,,(858) 927-9440,Poor,Email;Text,Mail,United States,Fair,636,Individual,1999-09-04,Female,Own,Intermediate,English,6131,2025-10-28,Johnson,0.0,0,,Moderate,Self-Service,Active,24%,947071190,Medium-Term,,2003-01-13,,,,,,R,,,,,Marketing,Female,Female,Web,Address,41.8854,-87.5843,Springfield,United States,Address,41.8416,-87.6015,(880) 067-9215,60674,IL,47 Maple St,she/her,Mrs,,,,,,,,,,,,,,Silver,
HYDRATE-RT-000064,ACCT-000064,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYeAAN.jpg,,,,,,,,,,,(659) 524-2336,Poor,Email;Text,Email,United States,Fair,664,Individual,2005-11-17,Male,Own,Intermediate,English,6512,2026-02-16,Miller,0.0,0,,Moderate,Self-Service,Active,22%,190417979,Medium-Term,,,,,,,,N,,,,,Operations,Male,Male,Web,Address,38.2235,-85.7596,Louisville Heights,United States,Address,38.2346,-85.7233,(918) 180-0305,40220,KY,47 Sycamore Blvd,he/him,Mr,,,,,,,,,,,,,,Silver,
HYDRATE-RT-000065,ACCT-000065,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYfAAN.jpg,,,,,,,,,,,(255) 630-9528,Excellent,Email;Text,Phone,United States,Fair,619,Individual,2017-02-10,Female,Own,Beginner,English,5376,2025-10-23,Williams,0.0,0,,Conservative,Self-Service,Active,12%,568791317,Short-Term,,,,,,,,Q,,,,,Engineering,Female,Female,Other,Address,43.0607,-87.8732,Milwaukee Plaza,United States,Address,43.0806,-87.8644,(774) 273-3936,53279,WI,47 Sycamore Rd,she/her,Ms,,,,,,,,,,,,,,Bronze,
HYDRATE-RT-000066,ACCT-000066,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYgAAN.jpg,,,,,,,,,,,(337) 915-8481,Excellent,Email;Text,Text,United States,Good,701,Individual,2013-08-17,Female,Rent,Intermediate,English,2784,2025-09-18,Johnson,0.0,1,,Moderate,Self-Service,Active,22%,299645359,Medium-Term,,2000-05-17,,,,,,F,,,,,Engineering,Female,Female,Web,Address,43.066,-87.9285,Milwaukee Center,United States,Address,42.9957,-87.8711,(291) 540-6369,53233,WI,731 Willow Ave,she/her,Dr,,,,,,,,,,,,,,Silver,
HYDRATE-RT-000067,ACCT-000067,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYhAAN.jpg,,,,,,,,,,,(220) 164-6037,Excellent,Email;Text,Email,United States,Good,710,Individual,2018-06-09,Female,Own,Intermediate,English,4392,2026-01-11,Lopez,0.0,0,,Moderate,Self-Service,Active,22%,255005678,Medium-Term,,2022-08-06,,,,,,Q,,,,,Engineering,Female,Female,Web,Address,32.8079,-97.287,Fort Worth Park,United States,Address,32.7734,-97.2949,(220) 397-1818,77039,TX,47 Walnut Rd,she/her,Ms,,,,,,,,,,,,,,Silver,
HYDRATE-RT-000068,ACCT-000068,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYiAAN.jpg,,,,,,,,,,,(364) 608-5675,Excellent,Email;Text,Mail,United States,Poor,576,Individual,2023-01-21,Male,Rent,Experienced,English,0436,2026-05-07,Thomas,0.0,1,,Aggressive,Self-Service,Active,12%,444443289,Long-Term,,2011-10-06,,,,,,K,,,,,Other,Male,Male,Referral,Address,45.5046,-122.6395,Portland Plaza,United States,Address,45.4907,-122.6783,(396) 935-9497,97268,OR,245 Elm Ave,he/him,Mr,,,,,,,,,,,,,,Bronze,
HYDRATE-RT-000069,ACCT-000069,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYjAAN.jpg,,,,,,,,,,,(995) 601-5924,Poor,Email;Text,Text,United States,Poor,549,Individual,2007-02-14,Female,Rent,Experienced,English,3866,2025-05-29,Davis,0.0,0,,Aggressive,Self-Service,Active,12%,194644000,Long-Term,,1999-12-04,,,,,,A,,,,,Other,Female,Female,Web,Address,38.839,-104.8618,Colorado Springs Plaza,United States,Address,38.8233,-104.8236,(778) 463-6642,80255,CO,47 Cedar Ave,she/her,Ms,,,,,,,,,,,,,,Bronze,
HYDRATE-RT-000070,ACCT-000070,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYkAAN.jpg,,,,,,,,,,,(735) 309-3248,Excellent,Email;Text,Phone,United States,Very Good,768,Individual,2013-07-04,Female,Own,Beginner,English,5115,2026-03-12,Williams,0.0,0,,Conservative,Self-Service,Active,22%,738793422,Short-Term,,2016-11-13,,,,,,M,,,,,Customer Service,Female,Female,Web,Address,42.3482,-83.0972,Detroit Heights,United States,Address,42.3673,-83.0681,(958) 659-6874,48244,MI,1100 Sycamore St,she/her,Mrs,,,,,,,,,,,,,,Silver,
HYDRATE-RT-000071,ACCT-000071,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYlAAN.jpg,,,,,,,,,,,(604) 569-1732,Excellent,Email;Text,Email,United States,Poor,496,Individual,2026-04-09,Female,Other,Intermediate,English,1669,2025-12-16,Davis,0.0,0,,Moderate,Self-Service,Active,12%,691336149,Medium-Term,,,,,,,,Y,,,,,Operations,Female,Female,Phone Inquiry,Address,32.7756,-97.3248,Fort Worth Hills,United States,Address,32.7823,-97.2988,(340) 522-7734,77020,TX,2014 Walnut Rd,she/her,Miss,,,,,,,,,,,,,,Bronze,
HYDRATE-RT-000072,ACCT-000072,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYmAAN.jpg,,,,,,,,,,,(876) 024-6333,Excellent,Email;Text,Email,United States,Poor,568,Individual,2014-06-05,Female,Own,Intermediate,English,6680,2026-02-07,Johnson,0.0,0,,Moderate,Self-Service,Active,22%,952302712,Medium-Term,,,,,,,,B,,,,,Engineering,Female,Female,Phone Inquiry,Address,35.5128,-97.4866,Oklahoma City Center,United States,Address,35.4576,-97.4954,(473) 161-3263,73189,OK,47 Pine Way,she/her,Mrs,,,,,,,,,,,,,,Silver,
HYDRATE-RT-000073,ACCT-000073,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYnAAN.jpg,,,,,,,,,,,(216) 191-9056,Excellent,Email;Text,Email,United States,Good,694,Individual,1992-01-29,Male,Own,Beginner,English,2166,2026-05-06,Davis,0.0,0,,Conservative,Self-Service,Active,22%,008218979,Short-Term,,2015-05-09,,,,,,K,,,,,Finance,Male,Male,Partner,Address,37.6519,-97.3397,Wichita Center,United States,Address,37.6776,-97.3537,(595) 762-9204,67289,KS,3287 Maple Way,he/him,Sr,,,,,,,,,,,,,,Silver,
HYDRATE-RT-000074,ACCT-000074,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYoAAN.jpg,,,,,,,,,,,(363) 300-6938,Excellent,Email;Text,Email,United States,Good,725,Individual,1988-02-17,Male,Own,Intermediate,English,0457,2026-02-21,Davis,0.0,0,,Moderate,Standard,Active,24%,872778264,Medium-Term,,2020-02-27,,,,,,S,,,,,Sales,Male,Male,Phone Inquiry,Address,42.3171,-71.0311,Cambridge,United States,Address,42.392,-71.0349,(856) 504-5061,02113,MA,102 Cedar Blvd,he/him,Dr,,,,,,,,,,,,,,Gold,
HYDRATE-RT-000075,ACCT-000075,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYpAAN.jpg,,,,,,,,,,,(613) 263-5423,Excellent,Email;Text,Email,United States,Good,670,Individual,2022-02-26,Female,Other,Intermediate,English,0946,2025-06-22,Jackson,0.0,0,,Moderate,Standard,Active,24%,420438150,Medium-Term,,2019-03-07,,,,,,R,,,,,Marketing,Female,Female,Web,Address,29.9174,-90.0812,New Orleans Heights,United States,Address,29.9425,-90.0538,(648) 868-4436,70125,LA,245 Maple Ln,she/her,Miss,,,,,,,,,,,,,,Gold,
HYDRATE-RT-000076,ACCT-000076,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYqAAN.jpg,,,,,,,,,,,(842) 091-3358,Excellent,Email;Text,Email,United States,Good,699,Individual,2013-12-31,Male,Own,Beginner,English,6292,2026-04-13,Hernandez,0.0,0,,Conservative,Self-Service,Active,22%,325155746,Short-Term,,2011-04-26,,,,,,O,,,,,Engineering,Male,Male,Referral,Address,39.953,-75.1766,Philadelphia Plaza,United States,Address,39.9694,-75.1405,(755) 411-5336,19184,PA,3287 Oak Blvd,he/him,Dr,,,,,,,,,,,,,,Silver,
HYDRATE-RT-000077,ACCT-000077,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYrAAN.jpg,,,,,,,,,,,(328) 022-3822,Excellent,Email;Text,Email,United States,Fair,596,Individual,2021-06-12,Female,Own,Intermediate,English,8663,2025-10-01,Taylor,0.0,0,,Moderate,Self-Service,Active,22%,831357742,Medium-Term,,,,,,,,V,,,,,Customer Service,Female,Female,Referral,Address,37.8232,-122.244,Oakland Plaza,United States,Address,37.7508,-122.268,(420) 904-1663,90044,CA,102 Pine St,she/her,Ms,,,,,,,,,,,,,,Silver,
HYDRATE-RT-000078,ACCT-000078,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYsAAN.jpg,,,,,,,,,,,(428) 431-0579,Excellent,Email;Text,Phone,United States,Poor,568,Individual,2018-04-05,Female,Own,Beginner,English,7148,2025-05-31,Smith,0.0,0,,Conservative,Self-Service,Active,24%,823091079,Short-Term,,,,,,,,X,,,,,Sales,Female,Female,Web,Address,32.7591,-117.1108,Los Angeles,United States,Address,34.0814,-118.2278,(890) 769-5112,90026,CA,3287 Walnut Way,she/her,Ms,,,,,,,,,,,,,,Silver,
HYDRATE-RT-000079,ACCT-000079,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYtAAN.jpg,,,,,,,,,,,(868) 872-7365,Excellent,Email;Text,Email,United States,Good,689,Individual,1999-12-14,Male,Own,Experienced,English,4231,2025-05-30,Jones,0.0,0,,Aggressive,Self-Service,Active,24%,032362274,Long-Term,,2002-09-07,,,,,,Q,,,,,Finance,Male,Male,Web,Address,32.7768,-96.8397,Fort Worth,United States,Address,32.714,-97.3775,(300) 220-6500,77098,TX,47 Cedar Ave,he/him,Dr,,,,,,,,,,,,,,Silver,
HYDRATE-RT-000080,ACCT-000080,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYuAAN.jpg,,,,,,,,,,,(266) 708-9365,Excellent,Email;Text,Email,United States,Good,738,Individual,2022-03-24,Female,Own,Intermediate,English,0390,2025-08-08,Moore,0.0,0,,Moderate,Standard,Active,24%,823650891,Medium-Term,,2008-06-18,,,,,,C,,,,,Finance,Female,Female,Partner,Address,39.2953,-76.6285,Baltimore Hills,United States,Address,39.2657,-76.6508,(438) 501-2332,21215,MD,3287 Birch Rd,she/her,Dr,,,,,,,,,,,,,,Gold,
HYDRATE-RT-000081,ACCT-000081,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYvAAN.jpg,,,,,,,,,,,(366) 054-0056,Excellent,Email;Text,Text,United States,Fair,633,Individual,2011-08-29,Male,Own,Intermediate,English,3419,2025-09-15,Moore,0.0,0,,Moderate,Self-Service,Active,22%,479686907,Medium-Term,,2018-11-11,,,,,,G,,,,,Marketing,Male,Male,Phone Inquiry,Address,32.7267,-97.2842,Fort Worth Hills,United States,Address,32.7191,-97.3418,(789) 442-9371,77054,TX,488 Oak St,he/him,Mr,,,,,,,,,,,,,,Silver,
HYDRATE-RT-000082,ACCT-000082,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYwAAN.jpg,,,,,,,,,,,(626) 677-7445,Poor,Email;Text,Email,United States,Good,675,Individual,2008-12-03,Male,Rent,Intermediate,English,5087,2025-08-15,Moore,0.0,0,,Moderate,Self-Service,Active,22%,346200398,Medium-Term,,2012-03-27,,,,,,K,,,,,Engineering,Male,Male,Partner,Address,32.1877,-110.889,Tucson Center,United States,Address,32.2239,-110.9079,(782) 819-7896,85006,AZ,47 Elm Rd,he/him,Mr,,,,,,,,,,,,,,Silver,
HYDRATE-RT-000083,ACCT-000083,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYxAAN.jpg,,,,,,,,,,,(607) 022-3785,Excellent,Email;Text,Email,United States,Fair,660,Individual,2007-05-24,Female,Own,Intermediate,English,1121,2025-09-20,Thomas,0.0,1,,Moderate,Self-Service,Active,24%,278532121,Medium-Term,,2019-09-28,,,,,,C,,,,,Finance,Female,Female,Partner,Address,41.2817,-95.966,Omaha Heights,United States,Address,41.2808,-95.9072,(356) 290-2241,68136,NE,731 Pine Rd,she/her,Ms,,,,,,,,,,,,,,Silver,
HYDRATE-RT-000084,ACCT-000084,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYyAAN.jpg,,,,,,,,,,,(393) 148-9888,Excellent,Email;Text,Email,United States,Fair,641,Individual,2003-01-13,Male,Other,Intermediate,English,1077,2026-05-10,Brown,0.0,2,,Moderate,Self-Service,Active,22%,711001402,Medium-Term,,2010-08-17,,,,,,O,,,,,Sales,Male,Male,Web,Address,35.7683,-78.6555,Raleigh Park,United States,Address,35.7632,-78.6207,(809) 818-7599,28272,NC,731 Cedar Ave,he/him,Mr,,,,,,,,,,,,,,Silver,
HYDRATE-RT-000085,ACCT-000085,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UYzAAN.jpg,,,,,,,,,,,(369) 435-5522,Poor,Email;Text,Email,United States,Fair,660,Individual,2020-09-04,Male,Other,Intermediate,English,5180,2025-07-22,Williams,0.0,1,,Moderate,Self-Service,Active,12%,533699842,Medium-Term,,2014-06-07,,,,,,A,,,,,Finance,Male,Male,Web,Address,38.8652,-77.0499,Washington Center,United States,Address,38.8709,-77.0746,(635) 554-5961,20098,DC,245 Birch Ave,he/him,Mr,,,,,,,,,,,,,,Bronze,
HYDRATE-RT-000086,ACCT-000086,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UZ0AAN.jpg,,,,,,,,,,,(271) 677-5453,Excellent,Email;Text,Text,United States,Fair,619,Individual,2016-10-08,Female,Rent,Intermediate,English,9915,2026-01-17,Moore,0.0,0,,Moderate,Self-Service,Active,12%,398084925,Medium-Term,,1998-07-24,,,,,,N,,,,,Operations,Female,Female,Partner,Address,36.1327,-86.8228,Nashville Hills,United States,Address,36.1171,-86.7845,(360) 891-4306,37279,TN,47 Sycamore Blvd,she/her,Mrs,,,,,,,,,,,,,,Bronze,
HYDRATE-RT-000087,ACCT-000087,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UZ1AAN.jpg,,,,,,,,,,,(283) 663-7915,Excellent,Email;Text,Phone,United States,Poor,563,Individual,2012-04-12,Female,Rent,Beginner,English,4332,2026-03-06,Johnson,0.0,0,,Conservative,Self-Service,Active,22%,343990066,Short-Term,,,,,,,,O,,,,,Marketing,Female,Female,Partner,Address,38.5706,-121.5047,Sacramento Heights,United States,Address,38.5794,-121.5388,(370) 597-8900,90077,CA,488 Oak Blvd,she/her,Ms,,,,,,,,,,,,,,Bronze,
HYDRATE-RT-000088,ACCT-000088,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UZ2AAN.jpg,,,,,,,,,,,(223) 011-0878,Poor,Email;Text,Email,United States,Good,739,Individual,2020-11-15,Female,Own,Experienced,English,8669,2025-07-30,Wilson,0.0,0,,Aggressive,Self-Service,Active,22%,270371115,Long-Term,,,,,,,,V,,,,,Sales,Female,Female,Referral,Address,32.7853,-97.2926,Fort Worth Park,United States,Address,32.7351,-97.2909,(862) 343-9868,77039,TX,488 Pine Way,she/her,Dr,,,,,,,,,,,,,,Silver,
HYDRATE-RT-000089,ACCT-000089,,,,,,,,,,https://cust360-photos.example.com/001am00002A8UZ3AAN.jpg,,,,,,,,,,,(925) 301-1165,Excellent,Email;Text,Email,United States,Good,676,Individual,2025-03-21,Male,Rent,Intermediate,English,6655,2026-01-30,Garcia,0.0,0,,Moderate,Self-Service,Active,22%,427665442,Medium-Term,,2014-02-11,,,,,,I,,,,,Operations,Male,Male,Referral,Address,35.4918,-97.5381,Oklahoma City Heights,United States,Address,35.465,-97.5638,(271) 543-1194,73168,OK,488 Maple St,he/him,Sr,,,,,,,,,,,,,,Silver,
